Drug,Pharmacological class,Interacting Drug or Class,Rationale,Recommendation,Quality of Evidence,Strength of Recommendation
Losartan,Angiotensin II subtype 1 receptor blockers; Angiotensin II receptor type 1 receptor blockers,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Azilsartan,Angiotensin II subtype 1 receptor blockers; Angiotensin II receptor type 1 receptor blockers,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Candesartan,Angiotensin II subtype 1 receptor blockers; Angiotensin II receptor type 1 receptor blockers,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Irbesartan,Angiotensin II subtype 1 receptor blockers; Angiotensin II receptor type 1 receptor blockers,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Olmesartan,Angiotensin II subtype 1 receptor blockers; Angiotensin II receptor type 1 receptor blockers,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Telmisartan,Angiotensin II subtype 1 receptor blockers; Angiotensin II receptor type 1 receptor blockers,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Eprosartan,Angiotensin II subtype 1 receptor blockers; Angiotensin II receptor type 1 receptor blockers,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Fimasartan,Angiotensin II subtype 1 receptor blockers; Angiotensin II receptor type 1 receptor blockers,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Sacubitril/valsartan,Angiotensin receptor neprilysin inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Aliskiren,Renin inhibitors,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Amiloride,Potassium-sparing diuretics,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Triamterene,Potassium-sparing diuretics,Another RAS inhibitor or a potassium-sparing diuretic,Increased risk of hyperkalemia,"Avoid routinely using 2 or more RAS inhibitors, or a RAS inhibitor and potassium-sparing diuretic, concurrently in those with chronic kidney disease Stage 3a or higher.",Moderate,Strong
Morphine,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Methadone,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Oxycodone,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Hydrocodone,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Fentanyl,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Codeine,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Tramadol,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Oxymorphone,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Buprenorphine,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Meperidine,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Pethidine,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Hydromorphone,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Tapentadol,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Remifentanil,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Alfentanil,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Pentazocine,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Sufentanil,Opioids,Benzodiazepines,Increased risk of overdose and adverse events,Avoid,Moderate,Strong
Morphine,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Methadone,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Oxycodone,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Hydrocodone,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Fentanyl,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Codeine,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Tramadol,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Oxymorphone,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Buprenorphine,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Meperidine,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Pethidine,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Hydromorphone,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Tapentadol,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Remifentanil,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Alfentanil,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Pentazocine,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Sufentanil,Opioids,Gabapentin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Morphine,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Methadone,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Oxycodone,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Hydrocodone,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Fentanyl,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Codeine,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Tramadol,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Oxymorphone,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Buprenorphine,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Meperidine,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Pethidine,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Hydromorphone,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Tapentadol,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Remifentanil,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Alfentanil,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Pentazocine,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Sufentanil,Opioids,Pregabalin,"Increased risk of severe sedation-related adverse events, including respiratory depression and death.","Avoid; exceptions are when transitioning from opioid therapy to gabapentin or pregablin, or when using gabapentinoids to reduce opioid dose, although caution should be used in all circumstances.",Moderate,Strong
Amitriptyline,Tricyclic antidepressants,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Amoxapine,Tricyclic antidepressants,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Clomipramine,Tricyclic antidepressants,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Desipramine,Tricyclic antidepressants,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Doxepin,Tricyclic antidepressants,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid >6mg/day; minimize the number of anticholinergic drugs.,Moderate,Strong
Imipramine,Tricyclic antidepressants,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Nortriptyline,Tricyclic antidepressants,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Paroxetine,Selective serotonin re-uptake inhibitors,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Prochlorperazine,Antiemetics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Promethazine,"Antiemetics, First-generation antihistamines",Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Brompheniramine,First-generation antihistamines,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Chlorpheniramine,First-generation antihistamines,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Cyproheptadine,First-generation antihistamines,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Dimenhydrinate,First-generation antihistamines,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Diphenhydramine,First-generation antihistamines,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Doxylamine,First-generation antihistamines,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Hydroxyzine,First-generation antihistamines,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Meclizine,First-generation antihistamines,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Triprolidine,First-generation antihistamines,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Darifenacin,Antimuscarinics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Fesoterodine,Antimuscarinics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Flavoxate,Antimuscarinics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Oxybutynin,Antimuscarinics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Solifenacin,Antimuscarinics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Tolterodine,Antimuscarinics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Trospium,Antimuscarinics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Benztropine,Antiparkinsonian agents ,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Trihexyphenidyl,Antiparkinsonian agents ,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Chlorpromazine,Antipsychotics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Clozapine,Antipsychotics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Olanzapine,Antipsychotics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Perphenazine,Antipsychotics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Atropine,Antispasmodics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Clidinium/chlordiazepoxide,Antispasmodics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Dicyclomine,Antispasmodics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Homatropine,Antispasmodics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Hyoscyamine,Antispasmodics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Scopolamine,Antispasmodics,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Cyclobenzaprine,Skeletal muscle relaxants ,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Orphenadrine,Skeletal muscle relaxants ,Anticholinergics,"Use of more than one medication with anticholinergic properties increases the risk of cognitive decline, delirium, and falls or fractures.",Avoid; minimize the number of anticholinergic drugs.,Moderate,Strong
Carbamazepine,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Phenytoin,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Valproate,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
