Disease or syndrome,Drug(s),Pharmacological class,Rationale,Recommendation,Quality of evidence,"Strength of
recommendation"
Heart failure,Etodolac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Flurbiprofen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Ketorolac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Meloxicam,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Choline salicylate,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Methyl salicylate,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Sodium salicylate,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Dexketoprofen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Aceclofenac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Nabumetone,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Oxaprozin,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Sulindac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Fenoprofen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Phenylbutazone,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Meclofenamic acid,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Meclofenamate,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective",Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,Moderate,Strong
Heart failure,Pioglitazone,Thiazolidinediones ,Potential to promote fluid retention and/or exacerbate heart failure.,Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure.,High,Strong
Syncope,Chlorpromazine,Antipsychotics,Increase risk of orthostatic hypotension.,Avoid,High,Weak
Syncope,Olanzapine,Antipsychotics,Increase risk of orthostatic hypotension.,Avoid,High,Weak
Syncope,Donepezil,Cholinesterase inhibitors,Cause bradycardia; Should be avoided in older adults whose syncope may be due to bradycardia.,Avoid,High,Strong
Syncope,Galantamine,Cholinesterase inhibitors,Cause bradycardia; Should be avoided in older adults whose syncope may be due to bradycardia.,Avoid,High,Strong
Syncope,Rivastigmine,Cholinesterase inhibitors,Cause bradycardia; Should be avoided in older adults whose syncope may be due to bradycardia.,Avoid,High,Strong
Syncope,Doxazosin,Non-selective peripheral alpha-1 blockers,Cause orthostatic blood pressure changes; Should be avoided in older adults whose syncope may be due to orthostatic hypotension.,Avoid,High,Weak
Syncope,Prazosin,Non-selective peripheral alpha-1 blockers,Cause orthostatic blood pressure changes; Should be avoided in older adults whose syncope may be due to orthostatic hypotension.,Avoid,High,Weak
Syncope,Terazosin,Non-selective peripheral alpha-1 blockers,Cause orthostatic blood pressure changes; Should be avoided in older adults whose syncope may be due to orthostatic hypotension.,Avoid,High,Weak
Syncope,Amitriptyline,Tricyclic antidepressants,Increase risk of orthostatic hypotension.,Avoid,High,Strong
Syncope,Clomipramine,Tricyclic antidepressants,Increase risk of orthostatic hypotension.,Avoid,High,Strong
Syncope,Doxepin,Tricyclic antidepressants,Increase risk of orthostatic hypotension.,Avoid,High,Strong
Syncope,Imipramine,Tricyclic antidepressants,Increase risk of orthostatic hypotension.,Avoid,High,Strong
Delirium,Amitriptyline,Tricyclic antidepressants,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Amoxapine,Tricyclic antidepressants,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Clomipramine,Tricyclic antidepressants,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Desipramine,Tricyclic antidepressants,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Doxepin,Tricyclic antidepressants,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid >6 mg/day, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Imipramine,Tricyclic antidepressants,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Nortriptyline,Tricyclic antidepressants,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Paroxetine,Selective serotonin re-uptake inhibitors,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Prochlorperazine,Antiemetics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Promethazine,"Antiemetics, First-generation antihistamines",Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Brompheniramine,First-generation antihistamines,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Chlorpheniramine,First-generation antihistamines,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Cyproheptadine,First-generation antihistamines,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Dimenhydrinate,First-generation antihistamines,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Diphenhydramine,First-generation antihistamines,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Doxylamine,First-generation antihistamines,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Hydroxyzine,First-generation antihistamines,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Meclizine,First-generation antihistamines,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Triprolidine,First-generation antihistamines,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Darifenacin,Antimuscarinics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Fesoterodine,Antimuscarinics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Flavoxate,Antimuscarinics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Oxybutynin,Antimuscarinics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Solifenacin,Antimuscarinics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Tolterodine,Antimuscarinics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Trospium,Antimuscarinics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Benztropine,Antiparkinsonian agents,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Trihexyphenidyl,Antiparkinsonian agents,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Chlorpromazine,Antipsychotics,"Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium. 
Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Clozapine,Antipsychotics,"Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium. 
Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Olanzapine,Antipsychotics,"Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium. 
Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Perphenazine,Antipsychotics,"Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium. 
Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Fluphenazine,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Haloperidol,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Aripiprazole,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Brexpiprazole,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Cariprazine,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Lurasidone,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Paliperidone,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Pimavanserin,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Quetiapine,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Risperidone,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Ziprasidone,Antipsychotics,"Avoid for behavioral problems of dementia or delirium unless nonpharmacologic options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Atropine,Antispasmodics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Clidinium/chlordiazepoxide,Antispasmodics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Dicyclomine,Antispasmodics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Homatropine,Antispasmodics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Hyoscyamine,Antispasmodics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Scopolamine,Antispasmodics,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Cyclobenzaprine,Skeletal muscle relaxants,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Orphenadrine,Skeletal muscle relaxants,Strong anticholinergic properties; Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Alprazolam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Chlordiazepoxide,Benzodiazepines ,"Applicable for chlordiazepoxide alone/ in combination with amitriptyline or clidinium:
Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Clobazam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Clonazepam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Clorazepate,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Diazepam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Estazolam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Lorazepam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Midazolam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Oxazepam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Temazepam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Triazolam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Flurazepam,Benzodiazepines ,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Prednisone,Corticosteroids,"Oral:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Prednisolone,Corticosteroids,"Oral and parental:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Methylprednisolone,Corticosteroids,"Oral and parental:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Betamethasone,Corticosteroids,"Oral and parental:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Hydrocortisone,Corticosteroids,"Oral and parental:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Dexamethasone,Corticosteroids,"Oral and parental:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Triamcinolone,Corticosteroids,"Oral and parental:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Cortisone,Corticosteroids,"Oral and parental:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Deflazacort,Corticosteroids,"Oral:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Budesonide,Corticosteroids,"Oral:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Fludrocortisone,Corticosteroids,"Oral:
If needed, use the lowest possible dose for the shortest duration and monitor for delirium.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Cimetidine,H2-receptor antagonists,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Low,Strong
Delirium,Famotidine,H2-receptor antagonists,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Low,Strong
Delirium,Nizatidine,H2-receptor antagonists,Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Low,Strong
Delirium,Eszopiclone,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ",Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Zaleplon,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ",Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Zolpidem,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ",Avoid in older adults with or at high risk of delirium because of the potential of inducing or worsening delirium.,"Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Morphine,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Methadone,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
